Ticker,Stock,Horizon,Accuracy,Features
BA.L,BAE Systems,1-d,55.44,89
BA.L,BAE Systems,5-d,51.52,89
BA.L,BAE Systems,21-d,58.13,99
AZN.L,AstraZeneca,1-d,47.98,89
AZN.L,AstraZeneca,5-d,55.96,89
AZN.L,AstraZeneca,21-d,61.18,99
RR.L,Rolls-Royce,1-d,54.44,89
RR.L,Rolls-Royce,5-d,37.17,89
RR.L,Rolls-Royce,21-d,24.8,99
LLOY.L,Lloyds Banking,1-d,42.94,89
LLOY.L,Lloyds Banking,5-d,45.86,89
LLOY.L,Lloyds Banking,21-d,38.62,99
STAN.L,Standard Chartered,1-d,48.19,89
STAN.L,Standard Chartered,5-d,46.46,89
STAN.L,Standard Chartered,21-d,78.66,99
HSBA.L,HSBC,1-d,49.19,89
HSBA.L,HSBC,5-d,67.27,89
HSBA.L,HSBC,21-d,67.89,99
NWG.L,NatWest Group,1-d,59.48,89
NWG.L,NatWest Group,5-d,53.54,89
NWG.L,NatWest Group,21-d,76.22,99
BARC.L,Barclays,1-d,45.97,89
BARC.L,Barclays,5-d,53.94,89
BARC.L,Barclays,21-d,75.0,99
GSK.L,GSK,1-d,49.6,89
GSK.L,GSK,5-d,53.13,89
GSK.L,GSK,21-d,56.71,99
JNJ,Johnson & Johnson,1-d,54.36,89
JNJ,Johnson & Johnson,5-d,55.89,89
JNJ,Johnson & Johnson,21-d,57.26,99
PLUG,Plug Power,1-d,58.01,89
PLUG,Plug Power,5-d,58.33,89
PLUG,Plug Power,21-d,64.62,99
MARA,Marathon Digital,1-d,55.17,89
MARA,Marathon Digital,5-d,50.61,89
MARA,Marathon Digital,21-d,56.65,99
NOC,Northrop Grumman,1-d,53.75,89
NOC,Northrop Grumman,5-d,55.69,89
NOC,Northrop Grumman,21-d,54.81,99
AMZN,Amazon,1-d,51.72,89
AMZN,Amazon,5-d,55.89,89
AMZN,Amazon,21-d,65.44,99
NVDA,NVIDIA,1-d,54.36,89
NVDA,NVIDIA,5-d,60.57,89
NVDA,NVIDIA,21-d,63.8,99
PFE,Pfizer,1-d,51.32,89
PFE,Pfizer,5-d,50.41,89
PFE,Pfizer,21-d,56.24,99
BB,BlackBerry,1-d,52.33,89
BB,BlackBerry,5-d,52.24,89
BB,BlackBerry,21-d,52.35,99
GME,GameStop,1-d,53.55,89
GME,GameStop,5-d,54.67,89
GME,GameStop,21-d,52.76,99
GOOGL,Alphabet,1-d,57.0,89
GOOGL,Alphabet,5-d,58.54,89
GOOGL,Alphabet,21-d,69.73,99
AMC,AMC Entertainment,1-d,59.03,89
AMC,AMC Entertainment,5-d,62.8,89
AMC,AMC Entertainment,21-d,65.64,99
LMT,Lockheed Martin,1-d,53.96,89
LMT,Lockheed Martin,5-d,57.72,89
LMT,Lockheed Martin,21-d,58.08,99
MSFT,Microsoft,1-d,53.55,89
MSFT,Microsoft,5-d,58.33,89
MSFT,Microsoft,21-d,55.21,99
RTX,Raytheon Technologies,1-d,52.13,89
RTX,Raytheon Technologies,5-d,59.76,89
RTX,Raytheon Technologies,21-d,74.85,99
AAPL,Apple,1-d,54.77,89
AAPL,Apple,5-d,55.28,89
AAPL,Apple,21-d,63.39,99
RIOT,Riot Platforms,1-d,51.98,89
RIOT,Riot Platforms,5-d,47.08,89
RIOT,Riot Platforms,21-d,55.77,99
SPCE,Virgin Galactic,1-d,58.27,89
SPCE,Virgin Galactic,5-d,55.8,89
SPCE,Virgin Galactic,21-d,64.84,99
TLRY,Tilray Brands,1-d,60.66,89
TLRY,Tilray Brands,5-d,64.11,89
TLRY,Tilray Brands,21-d,66.57,99
NIO,NIO Inc,1-d,51.68,89
NIO,NIO Inc,5-d,51.26,89
NIO,NIO Inc,21-d,65.82,99
MRNA,Moderna,1-d,57.23,89
MRNA,Moderna,5-d,42.9,89
MRNA,Moderna,21-d,41.52,99
LCID,Lucid Group,1-d,56.64,89
LCID,Lucid Group,5-d,59.77,89
LCID,Lucid Group,21-d,60.71,99
PLTR,Palantir Technologies,1-d,58.82,89
PLTR,Palantir Technologies,5-d,60.24,89
PLTR,Palantir Technologies,21-d,72.11,99
SOFI,SoFi Technologies,1-d,45.45,89
SOFI,SoFi Technologies,5-d,50.21,89
SOFI,SoFi Technologies,21-d,45.38,99
COIN,Coinbase Global,1-d,52.63,89
COIN,Coinbase Global,5-d,55.51,89
COIN,Coinbase Global,21-d,52.68,99
HOOD,Robinhood Markets,1-d,57.28,89
HOOD,Robinhood Markets,5-d,60.85,89
HOOD,Robinhood Markets,21-d,67.46,99
RIVN,Rivian Automotive,1-d,52.76,89
RIVN,Rivian Automotive,5-d,49.49,89
RIVN,Rivian Automotive,21-d,38.97,99
